bin,n,p_mean,p_lo,p_hi,y_rate,model,method
6,396,0.004753451328724623,0.0043000648729503155,0.005263227969408035,0.010101010101010102,TCSNet,temperature
7,396,0.005824399180710316,0.0052642617374658585,0.006422222591936588,0.007575757575757576,TCSNet,temperature
8,396,0.007156612817198038,0.006422341335564852,0.007965113036334515,0.007575757575757576,TCSNet,temperature
9,396,0.008902373723685741,0.007970812730491161,0.009952929802238941,0.005050505050505051,TCSNet,temperature
10,396,0.011338109150528908,0.009966795332729816,0.012904941104352474,0.017676767676767676,TCSNet,temperature
11,396,0.01534921396523714,0.012949696741998196,0.01834782026708126,0.015151515151515152,TCSNet,temperature
12,396,0.024940645322203636,0.018372412770986557,0.03414004296064377,0.030303030303030304,TCSNet,temperature
13,396,0.05800148844718933,0.03420884907245636,0.10685335844755173,0.09090909090909091,TCSNet,temperature
14,396,0.35177719593048096,0.10767931491136551,0.9459347724914551,0.4494949494949495,TCSNet,temperature
0,395,0.00048234869609586895,3.508394365780987e-05,0.0007819482707418501,0.0,VIPEEGNet,raw
1,396,0.0010729801142588258,0.0007826128276064992,0.001397603191435337,0.0,VIPEEGNet,raw
2,396,0.0016915603773668408,0.0013982008676975965,0.0019939627964049578,0.0,VIPEEGNet,raw
3,396,0.0024017654359340668,0.001995720434933901,0.002793380059301853,0.0,VIPEEGNet,raw
4,396,0.0032851817086338997,0.0027937248814851046,0.0037928749807178974,0.0,VIPEEGNet,raw
5,396,0.004386219661682844,0.003793868701905012,0.005043884739279747,0.0,VIPEEGNet,raw
6,396,0.005802306346595287,0.005046352744102478,0.006657169200479984,0.0,VIPEEGNet,raw
7,396,0.007764586713165045,0.006658975034952164,0.008946704678237438,0.0,VIPEEGNet,raw
8,396,0.010654894635081291,0.008961647748947144,0.012456911616027355,0.0,VIPEEGNet,raw
9,396,0.015090242959558964,0.01246619038283825,0.017922276630997658,0.0,VIPEEGNet,raw
10,396,0.022308161482214928,0.017925556749105453,0.027853170409798622,0.010101010101010102,VIPEEGNet,raw
11,396,0.03665764629840851,0.02791064977645874,0.04749463126063347,0.007575757575757576,VIPEEGNet,raw
12,396,0.06846766918897629,0.047554269433021545,0.09429576247930527,0.017676767676767676,VIPEEGNet,raw
13,396,0.14973609149456024,0.09446516633033752,0.2385391891002655,0.08585858585858586,VIPEEGNet,raw
14,396,0.4695684313774109,0.23862925171852112,0.9590263366699219,0.5202020202020202,VIPEEGNet,raw
0,395,9.033972673933022e-06,1.0994426702382043e-07,1.8671649741008878e-05,0.0,VIPEEGNet,platt
1,396,3.0648665415355936e-05,1.867598621174693e-05,4.607697337632999e-05,0.0,VIPEEGNet,platt
2,396,6.18517369730398e-05,4.6135883167153224e-05,7.950364670250565e-05,0.0,VIPEEGNet,platt
3,396,0.0001070698126568459,7.955022010719404e-05,0.00013649786706082523,0.0,VIPEEGNet,platt
4,396,0.0001754510885803029,0.00013654623762704432,0.000217475404497236,0.0,VIPEEGNet,platt
5,396,0.0002769849670585245,0.00021773802291136235,0.0003433307574596256,0.0,VIPEEGNet,platt
6,396,0.00042773428140208125,0.0003435267135500908,0.0005252225673757493,0.0,VIPEEGNet,platt
7,396,0.0006816053646616638,0.0005259602912701666,0.0008651461685076356,0.0,VIPEEGNet,platt
