threshold,TP,FP,FN,TN,sensitivity,specificity,FPR,precision,NPV,F1,F2,Youden_J,NNR,FP_per_100_neg
0.898,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.897,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.896,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.895,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.894,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.893,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.892,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.891,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.89,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.889,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.888,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.887,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.886,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.885,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.884,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.883,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.882,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.881,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.88,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.879,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.878,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.877,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.876,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.875,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.874,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.873,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.872,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.871,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.87,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.869,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.868,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.867,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.866,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.865,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.864,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.863,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.862,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.861,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.86,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.859,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.858,0,0,348,5591,0.0,1.0,0.0,,0.9414042768142785,,,0.0,,0.0
0.8570041060447693,1,0,347,5591,0.0028735632183908046,1.0,0.0,1.0,0.9415628157628831,0.005730659025787966,0.003589375448671931,0.002873563218390718,1.0,0.0
